0,0.057,4.543,-2.695,6.522,2.597,6.545,16.418,3.268,1.380,0.265,9.171,2.861,-0.911,0.049,0.180,-0.280,1.231,1.526,-0.882,-0.944,0.176,0.536,-0.805,-0.370,-0.522,0.028,0.071,0.003,-0.134,-0.256,-0.217,-0.163,-0.661,0.149,0.001,0.004,0.185,0.109,-0.015,0,0
1,-0.367,4.471,-2.710,8.657,4.953,5.288,16.695,3.663,2.669,-2.694,9.181,1.643,-2.832,0.315,0.315,-0.699,0.865,1.502,-1.389,-2.560,0.661,0.688,-1.044,-0.044,-0.456,-0.010,-0.021,-0.132,-0.073,-0.488,-0.627,-0.098,-0.725,-0.038,-0.046,0.316,0.416,0.444,-0.042,0,0
2,0.514,5.478,-4.085,11.607,9.051,2.765,11.562,3.949,3.415,-2.281,9.309,1.620,-2.561,0.271,0.127,-0.739,0.131,0.452,-1.442,-3.442,0.679,0.462,-0.665,0.393,-0.012,-0.029,-0.193,-0.272,0.140,-0.539,-0.807,0.072,-0.391,-0.484,-0.034,0.645,0.585,0.727,-0.053,0,0
3,1.401,5.650,-5.494,8.302,6.882,1.492,6.048,6.232,3.801,-3.684,9.051,3.264,-2.367,-0.166,-0.452,-0.414,-0.659,-1.069,-1.091,-3.322,-0.268,0.340,0.705,1.328,1.441,-0.154,-0.269,-0.268,0.300,-0.360,-0.459,0.357,0.342,-0.767,0.100,0.878,0.415,0.590,-0.034,0,0
4,0.527,4.590,-5.000,7.355,3.890,1.235,4.534,5.379,3.128,-2.568,9.091,4.015,-1.202,-0.676,-0.795,0.278,-0.701,-1.224,-0.673,-2.520,-1.780,0.538,1.547,1.871,2.164,-0.167,-0.065,0.007,0.209,-0.101,0.187,0.429,0.882,-0.471,0.134,0.690,-0.072,0.033,0.004,0,0
5,-1.205,2.656,-4.324,7.489,2.187,0.600,3.601,1.610,4.515,0.974,8.518,7.085,3.695,-0.557,-0.564,0.291,-0.519,0.044,0.014,-1.313,-1.946,1.151,2.239,1.290,1.409,-0.111,0.220,0.362,0.031,0.113,0.524,0.223,1.133,0.182,-0.174,0.032,-0.762,-0.773,0.057,0,0
6,-1.564,3.000,-3.281,8.509,5.278,-0.153,0.187,-2.639,5.750,3.126,8.741,9.066,5.230,0.142,0.220,-0.046,-0.445,0.832,0.150,-0.034,-0.837,0.730,2.020,0.052,0.171,-0.032,0.330,0.401,-0.138,0.095,0.219,-0.053,1.132,0.674,-0.582,-0.752,-1.185,-1.140,0.054,0,0
7,-0.337,3.624,-4.900,5.131,6.410,2.254,1.653,0.510,8.246,4.662,8.671,7.189,1.460,0.527,0.850,-0.096,-0.223,0.523,-0.387,1.102,0.169,-0.628,0.626,-1.572,-1.426,0.062,0.155,0.095,-0.097,0.110,-0.289,-0.272,0.746,0.498,-0.740,-1.342,-0.977,-0.807,0.022,0,0
8,0.805,5.206,-4.940,6.309,5.937,1.158,5.336,1.742,4.910,5.688,8.855,4.221,0.773,0.430,0.504,-0.220,-0.372,-0.370,-0.740,1.933,0.535,-1.483,-1.407,-2.622,-2.116,0.016,-0.114,-0.332,-0.072,0.017,-0.528,-0.101,0.143,0.101,-0.287,-1.353,-0.273,-0.115,-0.025,0,0
9,0.243,5.804,-3.974,7.475,4.475,-1.988,6.535,0.266,1.796,2.823,8.769,1.650,-1.206,0.073,-0.233,-0.107,-0.004,-0.799,-0.899,1.431,-0.145,-1.443,-2.760,-2.260,-1.482,-0.027,-0.196,-0.454,-0.118,-0.165,-0.417,0.351,-0.349,-0.104,0.364,-0.689,0.557,0.701,-0.037,0,0
10,0.297,4.430,-4.846,5.474,4.394,-1.731,7.412,0.157,1.560,-2.988,8.773,-1.274,-4.019,-0.198,-0.898,-0.399,-0.468,-1.146,-0.099,0.517,-0.174,-0.300,-3.054,-0.971,-0.374,-0.115,-0.161,-0.162,-0.030,-0.102,-0.089,0.529,-0.590,-0.028,0.589,0.308,1.025,1.110,0.011,0,0
