epoch,acc,loss,lr,val_acc,val_loss
0,0.843235805631,0.5053207241,0.001,0.88002550602,0.312524080276
1,0.859391763806,0.323765140027,0.001,0.870528757572,0.311203956604
2,0.870723485947,0.307168822736,0.001,0.874457240105,0.304249078035
3,0.871624685824,0.300931796432,0.001,0.877839207649,0.294689178467
4,0.871805123985,0.294779784977,0.001,0.878659069538,0.292872220278
5,0.870598599315,0.291930418462,0.001,0.874901354313,0.293343156576
6,0.870294235647,0.293484125286,0.001,0.879103183746,0.290121972561
7,0.872131340206,0.285778962076,0.001,0.870221197605,0.292102634907
8,0.870838180184,0.285821836442,0.001,0.875755369663,0.288897931576
9,0.870145961642,0.280864484608,0.001,0.873944759369,0.287583321333
10,0.871917411685,0.27879049629,0.001,0.876746058464,0.285940498114
11,0.872750885785,0.280090972781,0.001,0.874764740467,0.296681463718
12,0.872850835323,0.279762841761,0.001,0.873193204403,0.28968834877
13,0.871666714549,0.278735078871,0.001,0.873773932457,0.292269617319
14,0.873615428805,0.279446065426,0.001,0.879888832569,0.287870645523
15,0.873495094478,0.275335878134,0.001,0.871416807175,0.294099599123
16,0.874458044767,0.274223513901,0.001,0.872988343239,0.288825213909
17,0.875341340899,0.271705735475,0.001,0.877121806145,0.287028312683
18,0.876097142696,0.267906300724,0.001,0.873193264008,0.294604063034
19,0.878494136035,0.267544360831,0.001,0.8779758811,0.285773694515
